epoch,step,train_loss_epoch,train_loss_step,val_loss,val_psnr
0,49,,0.1574576199054718,,
0,99,,0.17372465133666992,,
0,149,,0.16597720980644226,,
0,199,,0.1657198667526245,,
0,249,,0.12559042870998383,,
0,299,,0.2221822589635849,,
0,349,,0.09206889569759369,,
0,379,,,0.14265833795070648,15.78343391418457
0,379,0.1517220139503479,,,
1,399,,0.11106476187705994,,
1,449,,0.1154806911945343,,
1,499,,0.11636223644018173,,
1,549,,0.09295445680618286,,
1,599,,0.05934315174818039,,
1,649,,0.07882685214281082,,
1,699,,0.04092991352081299,,
1,749,,0.061233989894390106,,
1,759,,,0.07639987766742706,20.686277389526367
1,759,0.09596556425094604,,,
2,799,,0.07583485543727875,,
2,849,,0.0532020702958107,,
2,899,,0.07425837963819504,,
2,949,,0.07686261832714081,,
2,999,,0.06485122442245483,,
2,1049,,0.05268927663564682,,
2,1099,,0.0495637021958828,,
2,1139,,,0.0644625723361969,21.692487716674805
2,1139,0.07428453862667084,,,
3,1149,,0.06027644872665405,,
3,1199,,0.07272990047931671,,
3,1249,,0.053532734513282776,,
3,1299,,0.09520995616912842,,
3,1349,,0.04974503815174103,,
3,1399,,0.07095231860876083,,
3,1449,,0.05834895372390747,,
3,1499,,0.06248283386230469,,
3,1519,,,0.06343764066696167,21.761310577392578
3,1519,0.06708467751741409,,,
4,1549,,0.05487943813204765,,
4,1599,,0.05519809573888779,,
4,1649,,0.06986256688833237,,
4,1699,,0.07580232620239258,,
4,1749,,0.06432164460420609,,
4,1799,,0.06565719097852707,,
4,1849,,0.06109892576932907,,
4,1899,,0.05736985057592392,,
4,1899,,,0.06066405028104782,22.39712142944336
4,1899,0.06286123394966125,,,
5,1949,,0.04934268444776535,,
5,1999,,0.058600928634405136,,
5,2049,,0.08459635078907013,,
5,2099,,0.08310015499591827,,
5,2149,,0.03438292816281319,,
5,2199,,0.09072303771972656,,
5,2249,,0.07582180202007294,,
5,2279,,,0.05541408807039261,22.937292098999023
5,2279,0.059331052005290985,,,
6,2299,,0.04980030655860901,,
6,2349,,0.04270971566438675,,
6,2399,,0.03657626733183861,,
6,2449,,0.07075795531272888,,
6,2499,,0.05958591029047966,,
6,2549,,0.05416718125343323,,
6,2599,,0.034704167395830154,,
6,2649,,0.06723591685295105,,
6,2659,,,0.05454189330339432,22.684764862060547
6,2659,0.05743756890296936,,,
7,2699,,0.05896031856536865,,
7,2749,,0.05375948175787926,,
7,2799,,0.04948623105883598,,
7,2849,,0.046495359390974045,,
7,2899,,0.04786072298884392,,
7,2949,,0.07066761702299118,,
7,2999,,0.055079247802495956,,
7,3039,,,0.050373803824186325,23.412403106689453
7,3039,0.05538235232234001,,,
8,3049,,0.045411303639411926,,
8,3099,,0.06370775401592255,,
8,3149,,0.03762432560324669,,
8,3199,,0.03393160551786423,,
8,3249,,0.04263445734977722,,
8,3299,,0.05734769627451897,,
8,3349,,0.03892287611961365,,
8,3399,,0.049868326634168625,,
8,3419,,,0.0495312474668026,23.382835388183594
8,3419,0.053146347403526306,,,
9,3449,,0.05707811564207077,,
9,3499,,0.062346190214157104,,
9,3549,,0.03751794248819351,,
9,3599,,0.045082204043865204,,
9,3649,,0.04587778449058533,,
9,3699,,0.04844207316637039,,
9,3749,,0.04218990355730057,,
9,3799,,0.05714510381221771,,
9,3799,,,0.04976934194564819,23.69418716430664
9,3799,0.051494050770998,,,
10,3849,,0.054047271609306335,,
10,3899,,0.047182582318782806,,
10,3949,,0.08265361189842224,,
10,3999,,0.04054874926805496,,
10,4049,,0.03779740631580353,,
10,4099,,0.05700632929801941,,
10,4149,,0.05388298258185387,,
10,4179,,,0.045555584132671356,24.239330291748047
10,4179,0.049684789031744,,,
11,4199,,0.04045364260673523,,
11,4249,,0.037778228521347046,,
11,4299,,0.08196835219860077,,
11,4349,,0.04787997901439667,,
11,4399,,0.04012583568692207,,
11,4449,,0.042168572545051575,,
11,4499,,0.04433885216712952,,
11,4549,,0.06566751003265381,,
11,4559,,,0.045519132167100906,24.314149856567383
11,4559,0.04778539761900902,,,
12,4599,,0.045836191624403,,
12,4649,,0.037394747138023376,,
12,4699,,0.03424648195505142,,
12,4749,,0.056586019694805145,,
12,4799,,0.048698775470256805,,
12,4849,,0.03789522126317024,,
12,4899,,0.042108964174985886,,
12,4939,,,0.0432521216571331,24.628612518310547
12,4939,0.04628269374370575,,,
13,4949,,0.03094789758324623,,
13,4999,,0.048129647970199585,,
13,5049,,0.031903743743896484,,
13,5099,,0.037856873124837875,,
13,5149,,0.06762642413377762,,
13,5199,,0.04124891385436058,,
13,5249,,0.04213371127843857,,
13,5299,,0.055027883499860764,,
13,5319,,,0.04274577274918556,24.769392013549805
13,5319,0.0455474890768528,,,
14,5349,,0.04610326513648033,,
14,5399,,0.0391513928771019,,
14,5449,,0.029508929699659348,,
14,5499,,0.03666791319847107,,
14,5549,,0.059593670070171356,,
14,5599,,0.05197586119174957,,
14,5649,,0.042962461709976196,,
14,5699,,0.035831235349178314,,
14,5699,,,0.041200459003448486,25.07192611694336
14,5699,0.04432918503880501,,,
15,5749,,0.03849756345152855,,
15,5799,,0.027778882533311844,,
15,5849,,0.04714921861886978,,
15,5899,,0.038090743124485016,,
15,5949,,0.04778539389371872,,
15,5999,,0.03431608900427818,,
15,6049,,0.05410582944750786,,
15,6079,,,0.04084765166044235,24.888355255126953
15,6079,0.043036870658397675,,,
16,6099,,0.03476368263363838,,
16,6149,,0.027723103761672974,,
16,6199,,0.03789597004652023,,
16,6249,,0.031693920493125916,,
16,6299,,0.060664840042591095,,
16,6349,,0.03286496922373772,,
16,6399,,0.03252851590514183,,
16,6449,,0.038145601749420166,,
16,6459,,,0.049036506563425064,23.82329750061035
16,6459,0.04221530631184578,,,
17,6499,,0.040072835981845856,,
17,6549,,0.04245549067854881,,
17,6599,,0.04178374260663986,,
17,6649,,0.025257691740989685,,
17,6699,,0.03357625752687454,,
17,6749,,0.05094217509031296,,
17,6799,,0.03971026837825775,,
17,6839,,,0.04534083604812622,24.30638885498047
17,6839,0.04166547209024429,,,
18,6849,,0.06300399452447891,,
18,6899,,0.048207785934209824,,
18,6949,,0.03569098934531212,,
18,6999,,0.03248970955610275,,
18,7049,,0.029601050540804863,,
18,7099,,0.04210653901100159,,
18,7149,,0.04405166953802109,,
18,7199,,0.03596062585711479,,
18,7219,,,0.037446651607751846,25.662883758544922
18,7219,0.04078579321503639,,,
19,7249,,0.0431550107896328,,
19,7299,,0.0405212864279747,,
19,7349,,0.04669409990310669,,
19,7399,,0.031217161566019058,,
19,7449,,0.03320241719484329,,
19,7499,,0.03024141490459442,,
19,7549,,0.046070873737335205,,
19,7599,,0.03194098174571991,,
19,7599,,,0.04204433411359787,24.758716583251953
19,7599,0.04003508388996124,,,
20,7649,,0.040809351950883865,,
20,7699,,0.04004760831594467,,
20,7749,,0.02462281845510006,,
20,7799,,0.06201654672622681,,
20,7849,,0.028331246227025986,,
20,7899,,0.04091256111860275,,
20,7949,,0.04544968530535698,,
20,7979,,,0.036988016217947006,25.891998291015625
20,7979,0.040219780057668686,,,
21,7999,,0.03825446590781212,,
21,8049,,0.03658963739871979,,
21,8099,,0.04609854146838188,,
21,8149,,0.05272476375102997,,
21,8199,,0.039028845727443695,,
21,8249,,0.03827742859721184,,
21,8299,,0.029352715238928795,,
21,8349,,0.04542328417301178,,
21,8359,,,0.037793174386024475,25.45053482055664
21,8359,0.03838468715548515,,,
22,8399,,0.05402122065424919,,
22,8449,,0.037682026624679565,,
22,8499,,0.035595908761024475,,
22,8549,,0.02876809798181057,,
22,8599,,0.030821410939097404,,
22,8649,,0.05571755766868591,,
22,8699,,0.020887266844511032,,
22,8739,,,0.03777644783258438,25.793689727783203
22,8739,0.03790070116519928,,,
23,8749,,0.06950408220291138,,
23,8799,,0.025475768372416496,,
23,8849,,0.038247592747211456,,
23,8899,,0.04244653135538101,,
23,8949,,0.04533017799258232,,
23,8999,,0.0610492005944252,,
23,9049,,0.045265257358551025,,
23,9099,,0.05103851482272148,,
23,9119,,,0.03437727317214012,26.337265014648438
23,9119,0.037733759731054306,,,
24,9149,,0.023264359682798386,,
24,9199,,0.04208241030573845,,
24,9249,,0.02313932776451111,,
24,9299,,0.04496370255947113,,
24,9349,,0.04126429557800293,,
24,9399,,0.03720708191394806,,
24,9449,,0.03330142796039581,,
24,9499,,0.019039321690797806,,
24,9499,,,0.0349460169672966,26.20479965209961
24,9499,0.0371861457824707,,,
25,9549,,0.042608942836523056,,
25,9599,,0.038288846611976624,,
25,9649,,0.0229242704808712,,
25,9699,,0.03862793743610382,,
25,9749,,0.03120468556880951,,
25,9799,,0.04718327522277832,,
25,9849,,0.03509587049484253,,
25,9879,,,0.0343194380402565,26.36631202697754
25,9879,0.0370294526219368,,,
26,9899,,0.04359181970357895,,
26,9949,,0.043500762432813644,,
26,9999,,0.04732126742601395,,
26,10049,,0.0281363632529974,,
26,10099,,0.05767787992954254,,
26,10149,,0.043074291199445724,,
26,10199,,0.04536328837275505,,
26,10249,,0.0352926105260849,,
26,10259,,,0.03399961441755295,26.34915542602539
26,10259,0.03629336133599281,,,
27,10299,,0.04540447145700455,,
27,10349,,0.06400531530380249,,
27,10399,,0.019091660156846046,,
27,10449,,0.03652305155992508,,
27,10499,,0.03273013234138489,,
27,10549,,0.024607520550489426,,
27,10599,,0.03739720582962036,,
27,10639,,,0.03365631774067879,26.525726318359375
27,10639,0.035950787365436554,,,
28,10649,,0.04738251119852066,,
28,10699,,0.03142769634723663,,
28,10749,,0.04193684458732605,,
28,10799,,0.043301209807395935,,
28,10849,,0.038260478526353836,,
28,10899,,0.02881075255572796,,
28,10949,,0.035029780119657516,,
28,10999,,0.053849957883358,,
28,11019,,,0.03292355686426163,26.616601943969727
28,11019,0.0356137752532959,,,
29,11049,,0.02946886047720909,,
29,11099,,0.03257386386394501,,
29,11149,,0.03433522209525108,,
29,11199,,0.04579653590917587,,
29,11249,,0.04099450260400772,,
29,11299,,0.02370954118669033,,
29,11349,,0.038375355303287506,,
29,11399,,0.0320085771381855,,
29,11399,,,0.03547491505742073,26.329238891601562
29,11399,0.03578970581293106,,,
30,11449,,0.04597082734107971,,
30,11499,,0.030641477555036545,,
30,11549,,0.03058837354183197,,
30,11599,,0.032575905323028564,,
30,11649,,0.02077563665807247,,
30,11699,,0.0337442010641098,,
30,11749,,0.045519690960645676,,
30,11779,,,0.03438616544008255,26.41720199584961
30,11779,0.035933706909418106,,,
31,11799,,0.03462618216872215,,
31,11849,,0.028783753514289856,,
31,11899,,0.0468812994658947,,
31,11949,,0.0399172268807888,,
31,11999,,0.04137551411986351,,
31,12049,,0.048034366220235825,,
31,12099,,0.032465532422065735,,
31,12149,,0.02290499024093151,,
31,12159,,,0.033030517399311066,26.691646575927734
31,12159,0.0348828099668026,,,
32,12199,,0.038460396230220795,,
32,12249,,0.03997686132788658,,
32,12299,,0.03368055820465088,,
32,12349,,0.042619720101356506,,
32,12399,,0.05085691809654236,,
32,12449,,0.026098087430000305,,
32,12499,,0.034125104546546936,,
32,12539,,,0.03241364657878876,26.74733543395996
32,12539,0.034102898091077805,,,
33,12549,,0.024564450606703758,,
33,12599,,0.03100830875337124,,
33,12649,,0.017545174807310104,,
33,12699,,0.036736227571964264,,
33,12749,,0.026966817677021027,,
33,12799,,0.036552794277668,,
33,12849,,0.04488493502140045,,
33,12899,,0.03215007111430168,,
33,12919,,,0.03294132277369499,26.6608943939209
33,12919,0.034380923956632614,,,
34,12949,,0.029755471274256706,,
34,12999,,0.046243101358413696,,
34,13049,,0.043252795934677124,,
34,13099,,0.031236261129379272,,
